iter	Passed	Remaining
1082	21387	27983
1083	21412	27970
1084	21436	27956
1085	21467	27951
1086	21489	27934
1087	21519	27928
1088	21546	27917
1089	21572	27905
1090	21594	27888
1091	21611	27865
1092	21632	27847
1093	21650	27825
1094	21678	27816
1095	21695	27792
1096	21717	27774
1097	21741	27760
1098	21762	27743
1099	21786	27728
1100	21815	27719
1101	21840	27707
1102	21861	27689
1103	21882	27669
1104	21902	27650
1105	21921	27629
1106	21940	27608
1107	21964	27594
1108	21984	27574
1109	22004	27554
1110	22020	27530
1111	22038	27509
1112	22062	27493
1113	22076	27466
1114	22092	27442
1115	22114	27425
1116	22133	27404
1117	22153	27384
1118	22179	27372
1119	22196	27349
1120	22210	27322
1121	22231	27303
1122	22251	27284
1123	22266	27258
1124	22286	27239
1125	22309	27223
1126	22333	27208
1127	22359	27196
1128	22382	27180
1129	22407	27166
1130	22421	27140
1131	22439	27118
1132	22459	27097
1133	22484	27084
1134	22504	27064
1135	22519	27038
1136	22540	27020
1137	22561	27002
1138	22591	26994
1139	22631	26998
1140	22654	26982
1141	22676	26966
1142	22693	26941
1143	22713	26923
1144	22735	26905
1145	22758	26889
1146	22776	26867
1147	22793	26843
1148	22809	26819
1149	22827	26797
1150	22850	26781
1151	22868	26758
1152	22892	26743
1153	22907	26718
1154	22928	26700
1155	22950	26682
1156	22966	26658
1157	22976	26627
1158	22999	26611
1159	23019	26591
1160	23036	26568
1161	23055	26547
1162	23072	26524
1163	23085	26496
1164	23103	26475
1165	23122	26453
1166	23145	26438
1167	23166	26419
1168	23190	26403
1169	23211	26386
1170	23233	26368
1171	23252	26347
1172	23266	26320
1173	23287	26302
1174	23307	26282
1175	23325	26261
1176	23341	26237
1177	23360	26216
1178	23384	26201
1179	23407	26185
1180	23428	26166
1181	23441	26138
1182	23462	26119
1183	23477	26095
1184	23496	26073
1185	23515	26053
1186	23536	26035
1187	23554	26012
1188	23573	25992
1189	23599	25979
1190	23618	25958
1191	23636	25936
1192	23657	25918
1193	23676	25897
1194	23694	25876
1195	23716	25858
1196	23736	25837
1197	23757	25819
1198	23774	25797
1199	23797	25781
1200	23815	25758
1201	23830	25733
1202	23844	25707
1203	23863	25686
1204	23879	25662
1205	23899	25643
1206	23918	25622
1207	23934	25599
1208	23953	25578
1209	23976	25561
1210	23997	25542
1211	24014	25520
1212	24037	25503
1213	24054	25480
1214	24067	25454
1215	24082	25428
1216	24099	25406
1217	24120	25387
1218	24139	25367
1219	24158	25346
1220	24175	25324
1221	24194	25303
1222	24211	25281
1223	24234	25264
1224	24252	25242
1225	24271	25221
1226	24290	25201
1227	24308	25179
1228	24322	25154
1229	24343	25135
1230	24359	25111
1231	24376	25088
1232	24399	25072
1233	24420	25054
1234	24439	25032
1235	24462	25016
1236	24488	25003
1237	24507	24982
1238	24532	24968
1239	24551	24947
1240	24576	24933
1241	24590	24907
1242	24608	24886
1243	24628	24865
1244	24652	24850
1245	24669	24827
1246	24685	24803
1247	24705	24784
1248	24723	24763
1249	24742	24742
1250	24762	24723
1251	24783	24703
1252	24806	24687
1253	24824	24666
1254	24840	24642
1255	24859	24621
1256	24879	24602
1257	24901	24584
1258	24926	24569
1259	24948	24552
1260	24966	24531
1261	24982	24506
1262	25004	24489
1263	25027	24473
1264	25049	24455
1265	25070	24437
1266	25098	24424
1267	25127	24414
1268	25150	24397
1269	25173	24380
1270	25196	24363
1271	25219	24347
1272	25238	24326
1273	25263	24311
1274	25279	24287
1275	25300	24269
1276	25320	24249
1277	25330	24221
1278	25354	24204
1279	25372	24183
1280	25392	24163
1281	25415	24146
1282	25435	24127
1283	25459	24111
1284	25479	24091
1285	25501	24073
1286	25521	24054
1287	25541	24034
1288	25561	24014
1289	25581	23994
1290	25602	23975
1291	25629	23962
1292	25651	23945
1293	25677	23931
1294	25699	23913
1295	25721	23895
1296	25742	23876
1297	25762	23856
1298	25786	23841
1299	25809	23823
1300	25830	23805
1301	25855	23790
1302	25885	23779
1303	25929	23781
1304	25972	23783
1305	25995	23766
1306	26017	23748
1307	26040	23731
1308	26064	23714
1309	26091	23701
1310	26113	23683
1311	26138	23668
1312	26160	23650
1313	26184	23634
1314	26206	23615
1315	26223	23592
1316	26243	23573
1317	26263	23553
1318	26284	23534
1319	26308	23518
1320	26332	23501
1321	26353	23482
1322	26375	23464
1323	26397	23446
1324	26425	23434
1325	26464	23430
1326	26493	23418
1327	26519	23404
1328	26543	23387
1329	26565	23369
1330	26585	23349
1331	26611	23334
1332	26633	23316
1333	26653	23296
1334	26677	23280
1335	26698	23261
1336	26721	23243
1337	26741	23223
1338	26761	23203
1339	26777	23180
1340	26797	23160
1341	26817	23140
1342	26838	23121
1343	26857	23100
1344	26881	23084
1345	26899	23062
1346	26918	23041
1347	26937	23020
1348	26955	22999
1349	26978	22981
1350	26994	22958
1351	27016	22940
1352	27033	22917
1353	27052	22896
1354	27077	22881
1355	27103	22865
1356	27127	22849
1357	27147	22829
1358	27175	22816
1359	27201	22800
1360	27231	22789
1361	27254	22772
1362	27278	22755
1363	27306	22741
1364	27331	22726
1365	27353	22708
1366	27382	22694
1367	27397	22670
1368	27419	22652
1369	27440	22633
1370	27461	22613
1371	27478	22591
1372	27536	22603
1373	27560	22585
1374	27601	22583
1375	27641	22579
1376	27674	22569
1377	27704	22557
1378	27729	22541
1379	27749	22521
1380	27770	22502
1381	27788	22480
1382	27810	22461
1383	27833	22443
1384	27853	22423
1385	27870	22401
1386	27894	22383
1387	27909	22360
1388	27930	22340
1389	27953	22322
1390	27974	22303
1391	27993	22282
1392	28015	22263
1393	28031	22240
1394	28052	22220
1395	28072	22200
1396	28094	22182
1397	28117	22163
1398	28135	22142
1399	28157	22123
1400	28173	22100
1401	28190	22077
1402	28209	22056
1403	28232	22038
1404	28247	22014
1405	28269	21996
1406	28289	21975
1407	28308	21954
1408	28321	21929
1409	28355	21920
1410	28391	21912
1411	28424	21902
1412	28442	21880
1413	28457	21856
1414	28478	21836
1415	28500	21818
1416	28518	21796
1417	28534	21773
1418	28555	21753
1419	28578	21735
1420	28596	21714
1421	28613	21691
1422	28636	21673
1423	28654	21651
1424	28674	21631
1425	28692	21609
1426	28708	21586
1427	28721	21560
1428	28746	21544
1429	28761	21520
1430	28778	21498
1431	28802	21481
1432	28820	21459
1433	28837	21436
1434	28853	21413
1435	28876	21395
1436	28888	21370
1437	28908	21349
1438	28923	21325
1439	28943	21305
1440	28961	21284
1441	28982	21264
1442	29000	21242
1443	29017	21220
1444	29033	21197
1445	29056	21179
1446	29079	21161
1447	29097	21140
1448	29112	21115
1449	29129	21093
1450	29148	21072
1451	29164	21049
1452	29180	21026
1453	29197	21004
1454	29212	20981
1455	29229	20958
1456	29244	20934
1457	29259	20911
1458	29279	20891
1459	29302	20873
1460	29320	20851
1461	29343	20833
1462	29364	20814
1463	29386	20795
1464	29401	20771
1465	29422	20752
1466	29442	20731
1467	29460	20710
1468	29476	20687
1469	29492	20664
1470	29514	20645
1471	29534	20625
1472	29554	20605
1473	29573	20585
1474	29594	20565
1475	29612	20544
1476	29631	20523
1477	29655	20505
1478	29672	20483
1479	29689	20461
1480	29708	20440
1481	29725	20418
1482	29746	20399
1483	29766	20379
1484	29785	20358
1485	29801	20335
1486	29819	20313
1487	29836	20291
1488	29848	20266
1489	29866	20245
1490	29885	20224
1491	29899	20200
1492	29916	20178
1493	29935	20157
1494	29952	20135
1495	29970	20113
1496	29990	20094
1497	30010	20073
1498	30021	20047
1499	30041	20027
1500	30055	20003
1501	30071	19980
1502	30086	19957
1503	30106	19937
1504	30127	19918
1505	30150	19900
1506	30168	19879
1507	30185	19856
1508	30207	19837
1509	30226	19817
1510	30244	19796
1511	30262	19774
1512	30283	19755
1513	30303	19734
1514	30332	19721
1515	30353	19701
1516	30381	19687
1517	30398	19664
1518	30416	19643
1519	30431	19620
1520	30452	19600
1521	30473	19581
1522	30489	19558
1523	30509	19538
1524	30531	19520
1525	30548	19498
1526	30575	19482
1527	30595	19462
1528	30612	19440
1529	30631	19420
1530	30651	19399
1531	30670	19379
1532	30686	19356
1533	30706	19336
1534	30728	19317
1535	30745	19296
1536	30762	19273
1537	30784	19255
1538	30800	19232
1539	30820	19212
1540	30840	19192
1541	30862	19174
1542	30884	19155
1543	30900	19132
1544	30920	19112
1545	30940	19092
1546	30961	19073
1547	30987	19056
1548	31009	19037
1549	31029	19018
1550	31050	18998
1551	31068	18977
1552	31087	18956
1553	31108	18937
1554	31131	18919
1555	31153	18900
1556	31170	18878
1557	31191	18858
1558	31212	18839
1559	31231	18818
1560	31251	18798
1561	31269	18777
1562	31285	18755
1563	31306	18735
1564	31323	18713
1565	31342	18693
1566	31364	18674
1567	31385	18654
1568	31401	18632
1569	31420	18611
1570	31434	18588
1571	31453	18567
1572	31472	18547
1573	31487	18524
1574	31506	18503
1575	31524	18482
1576	31546	18463
1577	31565	18443
1578	31585	18423
1579	31606	18403
1580	31625	18383
1581	31645	18363
1582	31663	18341
1583	31685	18323
1584	31702	18301
1585	31723	18281
1586	31748	18265
1587	31766	18243
1588	31785	18223
1589	31801	18200
1590	31820	18180
1591	31840	18160
1592	31861	18140
1593	31885	18123
1594	31905	18103
1595	31924	18082
1596	31942	18061
1597	31961	18040
1598	31977	18018
1599	31996	17998
1600	32010	17974
1601	32029	17954
1602	32049	17933
1603	32069	17914
1604	32088	17893
1605	32109	17874
1606	32129	17853
1607	32149	17834
1608	32169	17814
1609	32193	17796
1610	32214	17777
1611	32230	17754
1612	32248	17733
1613	32274	17716
1614	32307	17704
1615	32345	17694
1616	32365	17673
1617	32382	17652
1618	32403	17632
1619	32424	17613
1620	32451	17597
1621	32467	17574
1622	32487	17554
1623	32502	17532
1624	32518	17509
1625	32537	17489
1626	32561	17471
1627	32611	17467
1628	32643	17453
1629	32660	17432
1630	32691	17417
1631	32713	17399
1632	32732	17378
1633	32755	17360
1634	32776	17340
1635	32798	17321
1636	32818	17301
1637	32836	17280
1638	32855	17259
1639	32875	17239
1640	32892	17217
1641	32911	17197
1642	32935	17179
1643	32952	17157
1644	32977	17140
1645	33003	17123
1646	33026	17104
1647	33048	17085
1648	33068	17065
1649	33091	17046
1650	33108	17025
1651	33125	17003
1652	33142	16982
1653	33157	16959
1654	33180	16940
1655	33199	16920
1656	33218	16900
1657	33240	16880
1658	33259	16860
1659	33279	16840
1660	33295	16818
1661	33316	16798
1662	33337	16778
1663	33358	16759
1664	33378	16739
1665	33400	16720
1666	33423	16701
